City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,La Asuncion,VE,11.0333,-63.8628,92.93,52,100,17.27,overcast clouds
159,Luderitz,NA,-26.6481,15.1594,59.59,90,17,10.78,few clouds
160,Padang,ID,-0.9492,100.3543,78.85,79,100,4.68,overcast clouds
161,Ugoofaaru,MV,5.6667,73.0,81.54,76,26,3.96,scattered clouds
162,Grafton,US,42.207,-71.6856,38.62,47,1,3.0,clear sky
163,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,80,85,7.36,overcast clouds
164,Nuuk,GL,64.1835,-51.7216,27.21,46,75,20.71,broken clouds
165,Dikson,RU,73.5069,80.5464,-22.79,94,96,14.43,overcast clouds
166,Amarpur,IN,25.0333,86.9,66.29,67,91,1.88,overcast clouds
167,Igarka,RU,67.4667,86.5833,-20.27,93,100,15.95,overcast clouds
168,Ambon,ID,-3.6954,128.1814,75.34,94,40,6.91,light rain
169,Belmonte,BR,-15.8631,-38.8828,75.7,90,81,4.47,moderate rain
170,Baker City,US,44.7749,-117.8344,53.64,72,1,3.44,clear sky
171,Bongor,TD,10.2806,15.3722,80.78,27,74,4.23,broken clouds
172,Carnarvon,AU,-24.8667,113.6333,69.87,83,40,14.97,scattered clouds
173,East London,ZA,-33.0153,27.9116,64.15,74,99,7.87,overcast clouds
174,Tabou,CI,4.423,-7.3528,79.84,84,56,8.08,broken clouds
175,Constantine,DZ,36.365,6.6147,44.01,61,40,13.8,scattered clouds
176,Rawson,AR,-43.3002,-65.1023,65.89,36,2,22.95,clear sky
177,Atuona,PF,-9.8,-139.0333,78.85,72,7,16.69,clear sky
178,Ajdabiya,LY,30.7554,20.2263,65.79,30,100,10.36,overcast clouds
179,Naze,JP,28.3667,129.4833,59.38,55,100,15.1,overcast clouds
180,Chuy,UY,-33.6971,-53.4616,65.66,75,75,9.78,broken clouds
181,Tasiilaq,GL,65.6145,-37.6368,23.16,58,76,7.38,broken clouds
182,Kumo,NG,10.0447,11.2122,78.6,25,14,5.14,few clouds
183,Avarua,CK,-21.2078,-159.775,80.65,83,20,6.91,light rain
184,Nhulunbuy,AU,-12.2333,136.7667,81.21,94,100,0.0,overcast clouds
185,Khovu-Aksy,RU,51.1333,93.6,7.88,84,100,4.59,overcast clouds
186,Lac Du Bonnet,CA,50.2536,-96.0612,25.92,76,94,15.35,overcast clouds
187,Sakakah,SA,29.9697,40.2064,53.17,44,100,7.85,overcast clouds
188,Port Hawkesbury,CA,45.6169,-61.3485,38.17,94,90,11.99,overcast clouds
189,Abu Dhabi,AE,24.4667,54.3667,77.02,71,40,1.01,scattered clouds
190,Vardo,NO,70.3705,31.1107,26.58,80,40,10.36,light shower snow
191,Carutapera,BR,-1.195,-46.02,78.64,83,100,6.02,heavy intensity rain
192,Naro,IT,37.2935,13.7936,46.56,81,100,7.72,overcast clouds
193,Road Town,VG,18.4167,-64.6167,82.49,74,20,10.36,few clouds
194,Valley City,US,46.9233,-98.0032,40.19,41,1,16.11,clear sky
195,Kenora,CA,49.8167,-94.4337,31.39,54,75,19.57,broken clouds
196,Sorland,NO,67.667,12.6934,28.47,56,44,25.75,scattered clouds
197,Borovoy,RU,55.4333,86.0833,29.48,80,40,17.9,scattered clouds
198,Meulaboh,ID,4.1363,96.1285,75.69,84,99,3.74,overcast clouds
199,Hovd,MN,48.0056,91.6419,19.11,45,96,2.21,overcast clouds
200,Venezuela,VE,8.0,-66.0,85.23,55,99,4.56,overcast clouds
201,Kilindoni,TZ,-7.9139,39.6668,79.88,79,7,10.11,light rain
202,Carndonagh,IE,55.25,-7.2667,42.73,94,100,25.23,moderate rain
203,Santiago Del Estero,AR,-27.7951,-64.2615,91.31,29,21,14.36,few clouds
204,Tuatapere,NZ,-46.1333,167.6833,61.83,98,100,3.42,moderate rain
205,Veraval,IN,20.9,70.3667,71.1,58,1,9.33,clear sky
206,Cosala,MX,24.4125,-106.6908,89.83,25,4,6.53,clear sky
207,Port Lincoln,AU,-34.7333,135.8667,59.41,64,9,10.25,clear sky
208,Lata,PT,40.1629,-8.3327,52.81,89,80,0.72,broken clouds
209,Bhayavadar,IN,21.85,70.25,67.95,53,3,8.23,clear sky
210,Port Elizabeth,ZA,-33.918,25.5701,61.09,82,0,2.3,clear sky
211,Marsa Matruh,EG,31.3525,27.2453,61.0,59,0,9.22,clear sky
212,Mae Sai,TH,20.4335,99.8762,56.52,88,62,1.86,broken clouds
213,Strezhevoy,RU,60.7333,77.5889,24.78,94,100,12.57,light snow
214,Praya,CV,14.9215,-23.5087,73.94,73,20,19.57,few clouds
215,Berlevag,NO,70.8578,29.0864,21.0,62,0,4.61,clear sky
216,Salalah,OM,17.0151,54.0924,73.49,56,0,3.44,clear sky
217,San Cristobal,VE,7.7669,-72.225,80.78,62,17,1.68,few clouds
218,Dongsheng,CN,39.8161,109.9776,25.23,25,35,5.37,scattered clouds
219,Saint-Louis,SN,16.3333,-15.0,80.24,13,90,11.7,overcast clouds
220,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,73,75,16.11,broken clouds
221,Kuching,MY,1.55,110.3333,77.22,94,40,3.44,light rain
222,Lorengau,PG,-2.0226,147.2712,84.0,75,60,7.92,broken clouds
223,Fortuna,US,40.5982,-124.1573,52.72,100,20,0.0,few clouds
224,Colchester,GB,51.8892,0.9042,45.99,93,100,2.98,overcast clouds
225,Touros,BR,-5.1989,-35.4608,83.3,78,84,12.41,broken clouds
226,Ambilobe,MG,-13.2,49.05,75.94,74,4,4.83,clear sky
227,Kahului,US,20.8947,-156.47,79.84,87,75,11.5,light rain
228,Nyurba,RU,63.2842,118.3319,0.21,96,100,7.9,light snow
229,Araguacu,BR,-12.9306,-49.8264,78.01,84,66,2.68,broken clouds
230,Pevek,RU,69.7008,170.3133,-4.31,89,100,18.88,overcast clouds
231,Labuhan,ID,-6.8844,112.2051,78.85,85,100,5.28,heavy intensity rain
232,Mahebourg,MU,-20.4081,57.7,77.29,83,20,8.05,few clouds
233,Gigmoto,PH,13.7796,124.39,75.7,79,66,16.71,broken clouds
234,Shakawe,BW,-18.3667,21.85,82.67,33,86,3.51,overcast clouds
235,Okato,NZ,-39.2,173.8833,65.43,92,100,12.08,overcast clouds
236,Minab,IR,27.1467,57.0801,71.1,70,0,6.44,clear sky
237,Dunedin,NZ,-45.8742,170.5036,54.81,66,100,3.0,light rain
238,Sao Joao Do Piaui,BR,-8.3581,-42.2467,81.95,59,95,4.29,moderate rain
239,Te Anau,NZ,-45.4167,167.7167,57.78,99,100,1.43,moderate rain
240,Cartagena,CO,10.3997,-75.5144,85.62,74,20,12.66,few clouds
241,San Quintin,MX,30.4833,-115.95,65.23,70,0,13.15,clear sky
242,Bonavista,CA,48.6499,-53.1147,52.12,95,100,25.48,light rain
243,Parabel,RU,58.6978,81.4825,23.0,89,100,14.67,overcast clouds
244,Mastung,PK,29.7994,66.845,45.48,39,0,3.87,clear sky
245,Pozo Colorado,PY,-23.4923,-58.7972,93.13,26,5,6.26,clear sky
246,Betioky,MG,-23.7167,44.3833,75.83,56,4,2.3,clear sky
247,Petrolia,CA,42.8668,-82.1498,37.42,60,90,5.75,overcast clouds
248,Manyana,BW,-23.4,21.7167,72.03,65,74,12.03,broken clouds
249,Sioux Falls,US,43.55,-96.7003,50.97,62,75,6.91,broken clouds
250,Upernavik,GL,72.7868,-56.1549,13.59,78,49,8.59,scattered clouds
251,Husavik,IS,66.0449,-17.3389,15.71,81,94,13.2,overcast clouds
252,Kavieng,PG,-2.5744,150.7967,83.48,74,81,8.03,broken clouds
253,Esqueda,MX,30.7167,-109.5833,71.73,16,27,7.61,scattered clouds
254,Shingu,JP,33.7333,135.9833,44.76,81,29,6.98,scattered clouds
255,Ifanadiana,MG,-21.3,47.6333,68.63,98,81,0.89,light rain
256,Glace Bay,CA,46.1969,-59.957,40.08,85,75,8.99,broken clouds
257,Cidreira,BR,-30.1811,-50.2056,68.83,77,43,19.86,scattered clouds
258,Hami,CN,42.8,93.45,23.88,61,0,2.82,clear sky
259,Caxito,AO,-8.5785,13.6643,79.45,91,100,4.29,light rain
260,Aqtobe,KZ,50.2797,57.2072,35.69,87,90,11.18,overcast clouds
261,Mpika,ZM,-11.8343,31.4529,67.62,46,6,7.14,clear sky
262,Gotsu,JP,35.0,132.2167,45.16,60,73,18.03,broken clouds
263,Lumphat,KH,13.4878,106.9816,57.6,85,17,4.36,few clouds
264,Severo-Kurilsk,RU,50.6789,156.125,38.68,92,100,13.76,overcast clouds
265,Deputatskiy,RU,69.3,139.9,-32.94,91,100,6.15,overcast clouds
266,Severo-Yeniseyskiy,RU,60.3725,93.0408,25.56,90,99,11.63,overcast clouds
267,Eureka,US,40.8021,-124.1637,52.99,77,51,4.61,broken clouds
268,Pangoa,PE,-12.1167,-73.0,81.05,67,79,1.95,broken clouds
269,Sur,OM,22.5667,59.5289,72.99,57,0,7.27,clear sky
270,Mont-Joli,CA,48.5839,-68.1921,25.59,54,75,26.46,broken clouds
271,Show Low,US,34.2542,-110.0298,64.08,30,1,5.75,clear sky
272,Galle,LK,6.0367,80.217,77.47,85,95,2.51,light rain
273,Zaplavnoye,RU,48.7048,45.0229,40.86,91,95,12.82,overcast clouds
274,Sumbe,AO,-11.2061,13.8437,77.85,87,100,6.08,overcast clouds
275,Regina,CA,50.4501,-104.6178,33.82,47,20,20.71,few clouds
276,Tiksi,RU,71.6872,128.8694,-32.28,99,49,5.86,scattered clouds
277,Hanzhong,CN,33.0728,107.0303,40.05,61,2,0.49,clear sky
278,Mecca,SA,21.4267,39.8261,73.26,50,0,1.5,clear sky
279,Nawa,IN,27.0167,75.0,60.42,51,0,3.36,clear sky
280,Concarneau,FR,47.875,-3.9225,57.81,94,100,27.22,light rain
281,Novo Aripuana,BR,-5.1206,-60.3797,76.03,96,89,0.47,overcast clouds
282,Karratha,AU,-20.7377,116.8463,83.68,38,15,10.11,few clouds
283,West Wendover,US,40.7391,-114.0733,43.81,57,1,4.61,clear sky
284,Toamasina,MG,-18.1667,49.3833,75.2,94,75,2.3,light rain
285,Soure,BR,-0.7167,-48.5233,79.57,82,84,7.54,moderate rain
286,Shakiso,ET,5.75,38.9167,55.65,80,11,2.64,few clouds
287,Khakhea,BW,-24.6895,23.494,70.88,68,97,20.04,light rain
288,Huilong,CN,31.8111,121.655,47.03,64,0,3.78,clear sky
289,Alofi,NU,-19.0595,-169.9187,80.49,83,99,12.66,light rain
290,Kamenka,RU,51.3223,42.7678,44.74,69,100,20.24,overcast clouds
291,Gat,IL,31.61,34.7642,61.39,59,100,1.45,overcast clouds
292,Nishihara,JP,26.1842,127.7558,63.68,58,90,6.91,overcast clouds
